country_code,platform,client,key,category_id,parent_category_id,original_category_name,display_category_name,has_children,debug_message
id,Shopee,758395205,get_category,101789,101054,Others,Lainnya,FALSE,
id,Shopee,758395205,get_category,101788,101054,Leggings,Legging,FALSE,
id,Shopee,758395205,get_category,101787,101054,Skirts,Rok,FALSE,
id,Shopee,758395205,get_category,101786,101054,Shorts,Celana Pendek,FALSE,
id,Shopee,758395205,get_category,101785,101054,Pants,Celana Panjang,FALSE,
id,Shopee,758395205,get_category,101784,101054,Jeans,Jeans,FALSE,
id,Shopee,758395205,get_category,101053,100691,Outerwear,Pakaian Luar (Outerwear),TRUE,
id,Shopee,758395205,get_category,101783,101053,Others,Lainnya,FALSE,
id,Shopee,758395205,get_category,101782,101053,Hoodies,Hoodie,FALSE,
id,Shopee,758395205,get_category,101781,101053,Blazers,Blazer,FALSE,
id,Shopee,758395205,get_category,101780,101053,Sweaters & Cardigans,Sweter & Kardigan,FALSE,
id,Shopee,758395205,get_category,101779,101053,Vests,Rompi,FALSE,
id,Shopee,758395205,get_category,101778,101053,Winter Outerwear,Pakaian Luar Musim Dingin,FALSE,
id,Shopee,758395205,get_category,101777,101053,Regular Jackets & Coats,Jaket & Mantel Biasa,FALSE,
id,Shopee,758395205,get_category,101052,100691,Tops,Atasan,TRUE,
id,Shopee,758395205,get_category,101776,101052,Others,Lainnya,FALSE,
id,Shopee,758395205,get_category,101775,101052,Shirts & Blouses,Shirts & Blouses,FALSE,
id,Shopee,758395205,get_category,101774,101052,Polo Shirts,Kaus Polo,FALSE,
id,Shopee,758395205,get_category,101773,101052,T-shirts,Kaus / T-Shirt,FALSE,
id,Shopee,758395205,get_category,101051,100691,Swimwear,Pakaian Renang,FALSE,
id,Shopee,758395205,get_category,101050,100691,Sleepwear,Pakaian Tidur,FALSE,
id,Shopee,758395205,get_category,101049,100691,Underwear & Innerwear,Underwear & Innerwear,FALSE,
id,Shopee,758395205,get_category,101048,100691,Costumes,Kostum,FALSE,
id,Shopee,758395205,get_category,100690,100633,Boy Clothes,Boy Clothes,TRUE,
id,Shopee,758395205,get_category,101047,100690,Others,Lainnya,FALSE,
id,Shopee,758395205,get_category,101046,100690,Suits & Sets,Jas & Setelan,FALSE,
id,Shopee,758395205,get_category,101045,100690,Bottoms,Bawahan,TRUE,
id,Shopee,758395205,get_category,101772,101045,Others,Lainnya,FALSE,
id,Shopee,758395205,get_category,101771,101045,Overalls,Overalls,FALSE,
id,Shopee,758395205,get_category,101770,101045,Shorts,Celana Pendek,FALSE,
id,Shopee,758395205,get_category,101769,101045,Pants,Celana Panjang,FALSE,
id,Shopee,758395205,get_category,101768,101045,Jeans,Jeans,FALSE,
id,Shopee,758395205,get_category,101044,100690,Outerwear,Pakaian Luar (Outerwear),TRUE,
id,Shopee,758395205,get_category,101767,101044,Others,Lainnya,FALSE,
id,Shopee,758395205,get_category,101766,101044,Hoodies,Hoodie,FALSE,
id,Shopee,758395205,get_category,101765,101044,Blazers,Blazer,FALSE,
id,Shopee,758395205,get_category,101764,101044,Sweaters & Cardigans,Sweter & Kardigan,FALSE,
